Restaurant,Product,Calories,Carbs,Fat,Cholesterol,Protein
Taco Bell,Crunchy Taco,170,12,10,25,8
Taco Bell,Crunchy Taco Supreme®,200,15,12,35,9
Taco Bell,Double Decker® Taco,320,37,14,25,13
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,40,16,35,14
Taco Bell,Spicy Sweet Double Stacked Taco,340,32,18,35,12
Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,30,20,40,13
Taco Bell,Nacho Crunch Double Stacked Taco,380,39,19,35,13
Taco Bell,Fiery Doritos® Double Decker® Taco,320,36,13,25,14
Taco Bell,Fiery Doritos® Locos Taco,170,12,10,25,8
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,15,12,30,9
Taco Bell,Grilled Steak Soft Taco,250,19,14,30,11
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,36,13,25,14
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,13,9,25,8
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,15,11,35,9
Taco Bell,Soft Taco Supreme® – Beef,230,22,11,35,10
Taco Bell,Soft Taco-Beef,200,19,9,25,10
Taco Bell,Spicy Potato Soft Taco,250,28,13,10,6
Taco Bell,Chalupa Supreme® - Chicken,340,29,18,40,16
Taco Bell,Chalupa Supreme® - Steak,340,29,18,30,14
Taco Bell,Chalupa Supreme®–Beef,370,31,21,30,13
Taco Bell,Double Chalupa,600,50,35,50,21
Taco Bell,Wild Naked Chicken Chalupa,420,23,28,65,19
Taco Bell,Mild Naked Chicken Chalupa,440,22,30,70,20
Taco Bell,Spicy Double Chalupa,600,52,35,50,21
Taco Bell,Fresco Bean Burrito,350,57,9,0,11
Taco Bell,Fresco Burrito Supreme® – Chicken,340,50,8,25,17
Taco Bell,Fresco Burrito Supreme® – Steak,340,50,9,15,15
Taco Bell,Fresco Chicken Soft Taco,150,18,4,25,11
Taco Bell,Fresco Crunchy Taco,140,13,8,20,6
Taco Bell,Fresco Grilled Steak Soft Taco,150,19,4,15,9
Taco Bell,Fresco Soft Taco,170,20,7,20,8
Taco Bell,Cheesy Gordita Crunch,490,39,29,55,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,40,28,55,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,40,28,55,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,40,28,55,20
Taco Bell,Double Cheesy Gordita Crunch,570,44,32,70,25
Taco Bell,Gordita Supreme® – Beef,300,31,14,30,13
Taco Bell,Gordita Supreme® - Chicken,270,29,10,40,16
Taco Bell,Gordita Supreme® - Steak,270,29,11,30,14
Taco Bell,Nacho Fries Bellgrande,710,73,41,30,13
Taco Bell,Nachos BellGrande®,760,82,39,30,18
Taco Bell,Nachos Supreme,430,44,23,30,12
Taco Bell,Triple Layer Nachos,320,41,15,0,7
Taco Bell,Triple Melt Nachos,260,19,16,30,10
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,46,19,25,14
Taco Bell,Beefy Mini Quesadilla,210,17,12,25,9
Taco Bell,Beefy Nacho Griller,420,49,19,20,12
Taco Bell,BLT Crunchwrap Slider,430,43,23,20,12
Taco Bell,Cantina Power Bowl - Chicken,560,64,22,60,26
Taco Bell,Cantina Power Bowl - Steak,580,66,23,50,27
Taco Bell,Cantina Power Bowl - Veggie,540,75,21,10,14
Taco Bell,Cheese Quesadilla,480,40,27,50,19
Taco Bell,Cheese Roll-Up,190,18,9,20,9
Taco Bell,Chicken Quesadilla,520,41,28,75,27
Taco Bell,Chickstar,620,53,37,50,17
Taco Bell,Chili Cheese Burrito,380,41,17,35,16
Taco Bell,Chipotle Crispy Chicken Griller,290,22,18,25,9
Taco Bell,Crispy Chicken Quesadilla,650,51,37,75,26
Taco Bell,Crunchwrap Supreme®,540,71,21,30,16
Taco Bell,Double Tostada,270,32,11,15,12
Taco Bell,Express Taco Salad w/ Chips,580,59,29,60,23
Taco Bell,Loaded Potato Griller,470,55,22,25,13
Taco Bell,Mexican Pizza,540,47,31,40,20
Taco Bell,MexiMelt®,270,21,14,40,14
Taco Bell,Steak Quesalupa,440,36,23,60,22
Taco Bell,Chicken Quesalupa,440,37,23,60,22
Taco Bell,Beef Quesalupa,460,38,26,50,19
Taco Bell,Shredded Chicken Mini Quesadilla,180,15,8,25,12
Taco Bell,Spicy Chicken Crunchwrap Slider,400,42,20,25,15
Taco Bell,Spicy Tostada,200,22,10,10,7
Taco Bell,Stacker,390,39,18,40,18
Taco Bell,Steak Quesadilla,520,41,28,65,25
Taco Bell,Original Triple Double Crunchwrap,700,85,30,45,23
Taco Bell,Spicy Triple Double Crunchwrap,780,87,38,50,23
Taco Bell,Express Taco Salad w/ Chips,580,59,29,60,23
Taco Bell,Fiesta Taco Salad-Beef,780,74,42,60,26
Taco Bell,Fiesta Taco Salad-Chicken,720,70,35,70,32
Taco Bell,Fiesta Taco Salad-Steak,720,70,36,55,28
Pizza Hut,Corn n Cheese (Personal),432.6,65.64,10.93,16.19,17.91
Pizza Hut,Country Feast (Personal),407.6,67.11,8.03,66.8,16.73
Pizza Hut,Double Cheese (Personal),423.33,59.97,12.27,19.75,18.26
Pizza Hut,Double Paneer Supreme (Personal),474.03,52.86,20.26,71.72,20.07
Pizza Hut,Farmer`s Pick (Personal),408.16,53.93,12.53,48.09,19.91
Pizza Hut,Margherita (Personal),361.73,50.69,10.58,26.47,15.93
Pizza Hut,Spiced Paneer (Personal),408.01,47.54,14.57,37.37,21.68
Pizza Hut,Tandoori Onion (Personal),410.16,57.14,13.48,23.87,15.08
Pizza Hut,Tandoori Paneer (Personal),532.08,76.38,17.25,21.67,17.82
Pizza Hut,Veg Exotica (Personal),363.05,55.12,9.77,23.96,13.66
Pizza Hut,Veg Kebab Surprise (Personal),520.4,63.12,18.83,23.03,24.62
Pizza Hut,Veggie Feast (Personal),408.06,60.57,10.53,21.96,17.75
Pizza Hut,Veggie Lover (Personal),411.72,56.6,12.94,19.29,17.2
Pizza Hut,Veggie Supreme (Personal),426.59,55.39,14.42,32.43,17.75
Pizza Hut,Veggie Tandoori (Personal),432.21,58.12,15.98,31.91,13.98
Pizza Hut,Momo Mia Veg (Personal),510.19,65.21,18.87,19.86,19.88
Pizza Hut,Momo Mia Chicken (Personal),516.63,64.02,18.93,24.1,22.56
Pizza Hut,Chicken n Corn Delight (Personal),421.56,57.38,12.11,50.96,20.75
Pizza Hut,Chicken Pepper Crunch (Personal),447.43,50.59,17.76,54.62,21.32
Pizza Hut,Chicken Pepperoni (Personal),439.17,50.41,19.79,112.45,14.85
Pizza Hut,Chicken Sausage (Personal),443.02,48.93,19.48,38.62,17.98
Pizza Hut,Chicken Supreme (Personal),445.19,47.37,17.78,39.61,23.87
Pizza Hut,Chicken Tikka Supreme (Personal),434.67,49.46,16.32,25.41,22.49
Pizza Hut,Double Chicken Sausage (Personal),445.29,49.32,19.39,89.77,18.37
Pizza Hut,Italian Chicken Feast (Personal),449.4,53.52,17.22,58.63,20.08
Pizza Hut,Malai Chicken Tikka (Personal),425.45,53.99,13.67,24.64,21.62
Pizza Hut,Spiced Chicken Meatball (Personal),394.79,46.12,14.11,49.83,20.84
Pizza Hut,Triple Chicken Feast (Personal),424.46,50.12,22.76,42.86,24.15
Pizza Hut,Chicken Tikka (Personal),394.73,48.43,14.53,37.48,17.56
Pizza Hut,Veggie Tandoori (Medium),563.14,75.72,20.82,41.58,18.22
Pizza Hut,Momo Mia Veg (Medium),627.36,80.18,23.21,24.42,24.44
Pizza Hut,Corn n Cheese (Medium),557.7,84.62,14.1,20.87,23.09
Pizza Hut,Country Feast (Medium),542.71,89.35,10.69,88.95,22.28
Pizza Hut,Double Cheese (Medium),542.58,76.86,15.72,25.32,23.41
Pizza Hut,Double Paneer Supreme (Medium),607.41,67.73,25.96,91.9,25.71
Pizza Hut,Farmer`s Pick (Medium),528.07,69.78,16.21,62.22,25.76
Pizza Hut,Margherita (Medium),459.03,64.32,13.43,33.58,20.22
Pizza Hut,Spiced Paneer (Medium),532.754,62.08,19.02,48.79,28.31
Pizza Hut,Tandoori Onion (Medium),523.36,72.91,17.19,30.46,19.24
Pizza Hut,Tandoori Paneer (Medium),682.97,98.04,22.15,27.82,22.88
Pizza Hut,Veg Exotica (Medium),455.67,69.19,12.26,30.07,17.14
Pizza Hut,Veg Kebab Surprise (Medium),689.23,83.59,24.94,30.5,32.61
Pizza Hut,Veggie Feast (Medium),532.89,79.1,13.75,28.67,23.18
Pizza Hut,Veggie Lover (Medium),536.92,73.81,16.88,25.15,22.43
Pizza Hut,Veggie Supreme (Medium),550.26,71.45,18.6,41.83,22.89
Pizza Hut,Chicken n Corn Delight (Medium),444.9,58.79,13.66,52.42,21.7
Pizza Hut,Chicken Pepper Crunch (Medium),591.94,66.92,23.49,72.26,28.21
Pizza Hut,Chicken Pepperoni (Medium),561.68,64.48,25.31,143.81,18.99
Pizza Hut,Chicken Sausage (Medium),567.29,62.66,24.95,49.45,23.03
Pizza Hut,Chicken Supreme (Medium),585.84,62.33,23.4,52.12,31.42
Pizza Hut,Chicken Tikka Supreme (Medium),563.43,64.11,21.15,32.94,29.16
Pizza Hut,Double Chicken Sausage (Medium),568.53,62.97,24.76,114.61,23.45
Pizza Hut,Italian Chicken Feast (Medium),561.95,66.92,21.53,73.32,25.11
Pizza Hut,Malai Chicken Tikka (Medium),547.62,69.49,17.59,31.71,27.83
Pizza Hut,Spiced Chicken Meatball (Medium),505.95,59.1,18.08,63.86,26.71
Pizza Hut,Triple Chicken Feast (Medium),554.98,65.53,29.75,56.04,31.57
Pizza Hut,Chicken Tikka (Medium),588.84,72.25,21.67,55.91,26.19
Pizza Hut,Momo Mia Chicken (Medium),634.16,78.58,23.23,29.58,27.69
Pizza Hut,Corn n Cheese (Personal),332.61,44.5,10.46,7.75,15.12
Pizza Hut,Country Feast (Personal),376.45,58.33,8.6,3.99,16.44
Pizza Hut,Double Cheese (Personal),370.43,50.55,11.73,17.31,15.66
Pizza Hut,Double Paneer Supreme (Personal),414.59,45.34,17.76,18.31,18.35
Pizza Hut,Farmer`s Pick (Personal),361.77,46.87,11.63,8.04,17.29
Pizza Hut,Margherita (Personal),311.42,43.01,9.57,13,13.31
Pizza Hut,Spiced Paneer (Personal),359.58,41.31,13.1,16.34,19.1
Pizza Hut,Tandoori Onion (Personal),365.21,49.59,12.43,9.46,13.74
Pizza Hut,Tandoori Paneer (Personal),477.47,66.75,15.99,15.18,16.64
Pizza Hut,Veg Exotica (Personal),335.82,49.08,9.38,12.1,13.77
Pizza Hut,Veg Kebab Surprise (Personal),472.77,56.18,17.81,15.12,21.95
Pizza Hut,Veggie Feast (Personal),362.03,52.4,9.91,11.87,15.82
Pizza Hut,Veggie Lover (Personal),390.8,53.27,12.6,12.74,16.07
Pizza Hut,Veggie Supreme (Personal),382.29,48.88,13.33,15.84,16.7
Pizza Hut,Veggie Tandoori (Personal),388.81,51.14,14.59,16.74,13.23
Pizza Hut,Chicken n Corn Delight (Personal),310.91,38.81,10.37,16.31,15.82
Pizza Hut,Chicken Pepper Crunch (Personal),388.89,43.38,15.69,17.25,18.54
Pizza Hut,Chicken Pepperoni (Personal),385.35,44.11,16.93,23.87,14.12
Pizza Hut,Chicken Sausage (Personal),374.33,41.54,16.34,14.13,15.29
Pizza Hut,Chicken Supreme (Personal),1309.75,41.48,15.28,27.36,20.55
Pizza Hut,Chicken Tikka Supreme (Personal),405.84,47.19,15.09,22.79,20.24
Pizza Hut,Double Chicken Sausage (Personal),386.9,41.64,17.63,22.28,15.41
Pizza Hut,Italian Chicken Feast (Personal),407.76,47.06,16.02,53.53,18.83
Pizza Hut,Malai Chicken Tikka (Personal),385.98,48.24,13.14,16.2,18.69
Pizza Hut,Spiced Chicken Meatball (Personal),354.86,40.58,13.4,21.56,17.99
Pizza Hut,Triple Chicken Feast (Personal),462.99,48.22,20.17,29.8,21.7
Pizza Hut,Chicken Tikka (Personal),407.65,48.93,15.48,0.23,18.15
Pizza Hut,Veggie Tandoori (Medium),480.3,63.17,18.03,20.68,16.35
Pizza Hut,Corn n Cheese (Medium),406.53,54.39,12.78,9.47,18.48
Pizza Hut,Country Feast (Medium),481.67,74.63,11,5.11,21.03
Pizza Hut,Double Cheese (Medium),443.92,60.58,14.06,20.75,18.77
Pizza Hut,Double Paneer Supreme (Medium),507.01,55.45,21.72,22.39,22.44
Pizza Hut,Farmer`s Pick (Medium),454.66,58.91,14.62,10.1,21.72
Pizza Hut,Margherita (Medium),369.29,51,11.35,15.41,15.79
Pizza Hut,Spiced Paneer (Medium),446.9,51.35,16.29,20.31,23.73
Pizza Hut,Tandoori Onion (Medium),440.04,59.76,14.98,11.39,16.55
Pizza Hut,Tandoori Paneer (Medium),586.42,81.98,19.64,18.65,20.44
Pizza Hut,Veg Exotica (Medium),401.67,58.71,11.22,14.48,16.47
Pizza Hut,Veg Kebab Surprise (Medium),603.65,71.73,22.74,19.3,28.02
Pizza Hut,Veggie Feast (Medium),450.64,65.22,12.34,14.77,19.69
Pizza Hut,Veggie Lover (Medium),486.61,66.33,15.69,15.86,20.01
Pizza Hut,Veggie Supreme (Medium),473.08,60.49,16.49,19.6,20.67
Pizza Hut,Chicken n Corn Delight (Medium),392.84,49.03,13.11,20.61,19.99
Pizza Hut,Chicken Pepper Crunch (Medium),492.59,54.95,19.87,21.85,23.48
Pizza Hut,Chicken Pepperoni (Medium),466.92,53.45,20.52,28.92,17.11
Pizza Hut,Chicken Sausage (Medium),451.49,50.1,19.7,17.05,18.44
Pizza Hut,Chicken Supreme (Medium),485.2,52.18,19.23,34.42,25.86
Pizza Hut,Chicken Tikka Supreme (Medium),490.49,57.03,18.24,27.54,24.47
Pizza Hut,Double Chicken Sausage (Medium),466.64,50.23,21.27,26.88,18.58
Pizza Hut,Italian Chicken Feast (Medium),485.05,55.98,19.06,63.68,22.4
Pizza Hut,Malai Chicken Tikka (Medium),473.47,59.17,16.12,19.87,22.93
Pizza Hut,Spiced Chicken Meatball (Medium),432.56,49.47,16.33,26.29,21.93
Pizza Hut,Triple Chicken Feast (Medium),583.99,60.83,25.44,37.58,27.37
Pizza Hut,Chicken Tikka (Medium),516.89,62.04,19.63,30.81,23.01
Pizza Hut,Cheese Maxx (Personal),147.38,4.05,12.27,1.51,5.17
Pizza Hut,Veg kebab (Personal),192.02,13.73,12.63,3.78,5.86
Pizza Hut,Chicken Seekh Kebab (Personal),194.67,7.16,14.88,30.25,8.03
Pizza Hut,Cheese Maxx (Medium),149.37,4.04,12.59,0.58,4.97
Pizza Hut,Veg kebab (Medium),202.06,14.33,13.36,4.01,6.12
Pizza Hut,Chicken Seekh Kebab (Medium),204.75,7.37,15.73,32.03,8.42
Pizza Hut,Classic Paneer Capsicum & Onion,443.87,57.4,18.09,5.13,12.87
Pizza Hut,Schezwan Meatball & Capsicum,401.27,50.98,17.29,5.5,10.44
Pizza Hut,Spicy Baked Chicken Wings,140.22,6.77,8.7,87.93,14.12
Pizza Hut,Garlic Bread,246.73,18.45,17.63,22.4,3.58
Pizza Hut,Garlic Bread Spicy Supreme,270.17,29.21,14.7,9.07,5.27
Pizza Hut,Cheesy Comfort (Veg),332.02,28.68,15.78,37.26,18.81
Pizza Hut,Cheesy Comfort (Chicken),439.02,29.6,26.58,78.27,20.35
Pizza Hut,Indi Rockin Roll - Veg,289.81,28.58,14.25,36.05,11.81
Pizza Hut,Indi Rockin Roll - Chicken,255.65,27.07,10.9,46.48,12.32
Pizza Hut,Zesty Pocket (Veg),192.91,22.1,9.08,11.4,5.7
Pizza Hut,Zesty Pocket (Chicken),157.99,18.01,6.45,15.35,6.97
Pizza Hut,Baked Momos (Veg),218.975,17.99,13.62,8.29,6.1
Pizza Hut,Baked Momos (Chicken),223.71,15.72,13.45,40.46,9.94
Pizza Hut,Tear and Share (Veg),424.82,45.21,20.6,22.69,14.65
Pizza Hut,Tear and Share (Chicken),442.46,48.92,19.22,43.85,18.47
Pizza Hut,Choco Vanilla Romance,90.48,17.93,1.62,3.28,1.36
Pizza Hut,Ebony & Ivory,201.84,34.73,6.52,3.28,1.38
Pizza Hut,Choco Chip Cookie Sundae (Regular),433.72,68.66,15.12,6.56,6.39
Pizza Hut,Jamuntini,134,32.18,0.38,0,0.21
Pizza Hut,Masal Pepsi,126.5,30.93,0.38,0,0.21
Pizza Hut,Masala Mirinda,156.5,38.18,0.38,0,0.21
Pizza Hut,Pepsi,107.5,27.25,0,0,0
Pizza Hut,7 up,115,28.5,0,0,0
Pizza Hut,Mirinda,137.5,34.5,0,0,0
Pizza Hut,Lipton Ice Tea Lemon Flavoured,0,0,0,0,0
Pizza Hut,Pepsi Black,74,18.6,0,0,0
Burger King,Crispy veg,426.7,52,20.6,173.04000000000002,8.4
Burger King,BK veggie,398.2,52.4,17.2,147.92,8.6
Burger King,Veg Chilli Cheese,422.6,50.6,19.3,223.88,11.6
Burger King,Paneer king,525.8,67.1,22.4,313.59999999999997,14
Burger King,Veg Supreme,374.1,49.2,16.5,189.75,11.5
Burger King,Veg Surprise,385.1,51.7,15.3,157.59000000000003,10.3
Burger King,Veg Whopper,749,100.6,31.4,345.4,11
Burger King,Masala Whopper Veg,753.2,94.7,33.2,630.8000000000001,19
Burger King,BK Grill,332.1,36.7,13.8,211.14,15.3
Burger King,Chicken Tandoori Grill,369.1,35.5,14.6,351.86,24.1
Burger King,Chicken Chilli Cheese,406.1,47.9,16.4,275.52,16.8
Burger King,Chicken kheema,369.1,45.8,15.3,185.13,12.1
Burger King,Crispy chicken,345.2,39,15.5,192.2,12.4
Burger King,Xtra Long chicken,533.5,61.1,21.7,507.78,23.4
Burger King,Chicken whopper,662,60.3,38.3,1271.56,33.2
Burger King,Mutton Whopper,624.2,71,30.4,380,12.5
Burger King,Fiery chicken (South),400,61.7,16.2,370.98,22.9
Burger King,Fiery Chicken (North & West),409.1,61.9,18.1,418.11000000000007,23.1
Burger King,Masala Whopper Chicken,664.9,68,28.9,962.37,33.3
Burger King,Masala Whopper Mutton,631.4,69.3,26.4,773.52,29.3
Burger King,Chicken fries 5 pcs,206,19.9,9.2,100.28,10.9
Burger King,Chicken fries 9 pcs,370.7,35.8,16.6,325.36000000000007,19.6
Burger King,Chicken wings Fried ( 2Pcs),167.5,0.9,10.3,182.31,17.7
Burger King,Chicken wings Fried ( 4Pcs),332.8,1.8,20.5,721.6,35.2
Burger King,Chicken wings Fried ( 8Pcs),665.7,3.6,41.1,2893.4400000000005,70.4
Burger King,Chicken wings Fried ( 15Pcs),1224,6.6,75.5,9769.7,129.4
Burger King,Chicken wings Grilled ( 2Pcs),167.5,18.1,4.4,60.720000000000006,13.8
Burger King,Chicken wings Grilled ( 4Pcs),335,36.2,8.8,243.76,27.7
Burger King,Chicken wings Grilled ( 8Pcs),669.9,72.4,17.7,980.58,55.4
Burger King,Chicken wings Grilled ( 15Pcs),1275.5,137.8,33.6,3541.4400000000005,105.4
Burger King,Fiery Rings 2Pcs,137.6,18,5.7,19.95,3.5
Burger King,Fiery Rings 4Pcs,275.3,36,11.5,80.5,7
Burger King,Veg strips 3 Pcs,136.6,16.7,6.5,17.55,2.7
Burger King,Veg strips 6 Pcs,273.2,33.5,5.4,33.480000000000004,6.2
Burger King,Potato Tots 8 Pcs,155.9,21,7.1,18.46,2.6
Burger King,Fries Regular,263.9,37.7,10.6,46.64,4.4
Burger King,Medium Fries,406.6,58.1,6.8,51,7.5
Burger King,King fries,535,76.5,8.9,88.11000000000001,9.9
Burger King,Cheesy fries,460.9,56.2,22.6,183.06,8.1
Burger King,Cheesy Italian fries,530.9,63,26.1,281.88000000000005,10.8
Burger King,Chicken keema Fries,541.4,55.9,28.5,436.05,15.3
Starbucks,"Sausage, Egg & Cheddar Classic Breakfast Sandwich",500,41,28,165,15
Starbucks,"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg WhiteBreakfast Sandwich",230,28,6,25,13
Starbucks,"Bacon, Gouda & Egg on Artisan Roll",350,30,18,165,17
Starbucks,"Spinach, Feta & Egg White Breakfast Wrap",290,33,10,20,19
Starbucks,"Roasted Ham, Swiss & Egg on Croissant Bun",450,42,23,220,19
Starbucks,Egg & Cheddar on English Muffin,280,27,13,160,12
Starbucks,Double Smoked Bacon,490,40,27,215,17
Starbucks,Whole Grain Oatmeal,160,28,2.5,0,5
Starbucks,Maple Brown Sugar,50,13,0,0,0
Starbucks,Dried Fruit,100,24,0.4,0,1
Starbucks,Nut Medley,100,2,10,0,2
Starbucks,Cherry Oat Bar,240,36,8,25,3
Starbucks,Double Chocolate Chunk Brownie,380,41,23,70,4
Starbucks,Gluten Free Marshmallow Dream Bar,240,45,5,15,2
Starbucks,Oat Fudge Bar,360,45,20,20,5
Starbucks,Blueberry Bar,250,35,13,20,4
Starbucks,Oat Bar,360,43,19,40,6
Starbucks,Chocolate Chunk Cookie,380,54,19,55,5
Starbucks,Gluten Free Flourless Chocolate Cookie,170,30,5,0,2
Starbucks,Fruit & Oat Cookie,370,52,15,60,6
Starbucks,Multigrain Bagel,290,58,3,0,14
Starbucks,Everything with Cheese Bagel,270,54,2,0,10
Starbucks,Asiago & Cheddar Pretzel,360,46,12,35,16
Starbucks,Butter Croissant,270,28,14,55,6
Starbucks,Chocolate Croissant,330,35,17,50,6
Starbucks,Ham & Cheese Savoury Foldover,250,24,11,50,13
Starbucks,Pepperoni and Tomato Savoury Foldover,270,27,14,50,10
Starbucks,Spinach Savoury Foldover,250,23,15,50,4
Starbucks,Morning Bun,350,54,15,40,7
Starbucks,Cheese Danish,300,35,15,50,6
Starbucks,Baa Loaf,380,52,17,70,5
Starbucks,Lemon Loaf,430,57,20,90,6
Starbucks,Reduced Fat Cinnamon Swirl Coffee Cake,370,67,9,20,5
Starbucks,Birthday Cake Pop,180,24,9,10,1
Starbucks,Blueberry Yogurt and Honey Muffin,380,53,16,60,6
Starbucks,Blueberry Scone,360,50,15,50,5
Starbucks,Cranberry Orange Scone,420,64,15,55,6
Starbucks,Pumpkin Cream Cheese Muffin,350,53,14,55,5
Starbucks,Pumpkin Bread,410,63,15,55,6
Starbucks,Pumpkin Scone,450,64,21,60,4
Starbucks,Apple Poundcake,360,44,18,100,5
Starbucks,Pumpkin Sugar Cookie,330,37,19,30,4
Starbucks,Pecan Tart,330,39,18,75,4
Starbucks,Greek Yogurt & Honey Parfait,310,36,12,30,13
Starbucks,Strawberry Blueberry Yogurt Parfait,310,51,5,10,10
Starbucks,Seasonal Fruit Cup,80,20,0,0,1
Mcdonalds,McVeggie™ Burger,402.05,56.54,13.83,2.49,10.24
Mcdonalds,McAloo Tikki Burger®,339.52,50.27,11.31,1.47,8.5
Mcdonalds,McSpicy™ Paneer Burger,652.76,52.33,39.45,21.85,20.29
Mcdonalds,Spicy Paneer Wrap,674.68,59.27,39.1,40.93,20.96
Mcdonalds,American Veg Burger,512.17,56.96,23.45,25.24,15.3
Mcdonalds,Veg Maharaja Mac,832.67,93.84,37.94,36.19,24.17
Mcdonalds,Green Chilli Aloo Naan,356.09,46.36,15.08,9.45,7.91
Mcdonalds,Pizza Puff,228.21,24.79,11.44,5.17,5.45
Mcdonalds,Mc chicken Burger,400.8,47.98,15.7,31.17,15.66
Mcdonalds,FILLET-O-FISH Burger,348.11,38.85,14.16,32.83,15.44
Mcdonalds,Mc Spicy Chicken Burger,451.92,46.08,19.36,66.04,21.46
Mcdonalds,Spicy Chicken Wrap,567.19,57.06,26.89,87.63,23.74
Mcdonalds,Chicken Maharaja Mac,689.12,55.39,36.69,81.49,34
Mcdonalds,American Chicken Burger,446.95,38.54,22.94,47.63,20.29
Mcdonalds,Chicken Kebab Burger,357.05,47.9,14.02,1.51,8.64
Mcdonalds,Green Chilli Kebab naan,230.95,31.06,9.32,8.74,5.67
Mcdonalds,Mc Egg Masala Burger,290.42,32.89,12.27,213.09,12.45
Mcdonalds,Mc Egg Burger for Happy Meal,282.98,31.32,12.21,213.09,12.29
Mcdonalds,Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3,77.47,29.2,31.32,26.91
Mcdonalds,McSpicy Fried Chicken 1 pc,248.76,12.7,14.29,31.11,17.33
Mcdonalds,4 piece Chicken McNuggets,169.68,10.5,9.54,24.66,10.03
Mcdonalds,6 piece Chicken McNuggets,254.52,15.74,14.3,36.99,15.04
Mcdonalds,9 piece Chicken McNuggets,381.77,23.62,21.46,55.48,22.56
Mcdonalds,2 piece Chicken Strips,164.44,2.68,12.38,30.1,10.17
Mcdonalds,3 piece Chicken Strips,246.65,4.02,18.57,45.15,15.26
Mcdonalds,5 piece Chicken Strips,411.09,0.73,28.54,6.7,25.43
Mcdonalds,Regular Fries,224.59,27.08,10.39,0.77,3.38
Mcdonalds,Medium Fries,317.92,38.34,14.7,1.09,4.79
Mcdonalds,Large Fries,449.17,54.16,20.77,1.54,6.76
Mcdonalds,Regular Wedges,204.65,28.74,7.15,0.97,3.97
Mcdonalds,Medium Wedges,280.05,39.33,9.79,1.33,5.44
Mcdonalds,Large Wedges,387.76,54.46,13.55,1.84,7.53
Mcdonalds,L1 Coffee,6.8,1.7,0,0,0
Mcdonalds,L1 Coffee with milk,35.8,1.6,2,6,1
Mcdonalds,Double Chocochips Muffin,341.68,40.13,17.28,15.96,5.13
Mcdonalds,Vanilla Chocochips Muffin,329.29,40.13,15.46,78.52,4.48
Mcdonalds,Veg McMuffin,309.35,38.86,11.78,25.31,10.22
Mcdonalds,Double Cheese McMuffin,273.78,29,12.82,37.75,9.58
Mcdonalds,Spicy Egg McMuffin,278.27,31.37,11.81,212.61,11.49
Mcdonalds,Sausage Mc Muffin,281.44,28.62,10.81,53.02,16.25
Mcdonalds,Sausage Mc Muffin with egg,290.42,28.87,15.94,264.8,22.46
Mcdonalds,Egg McMuffin,283.46,28.12,12.31,233.3,14.05
Mcdonalds,Hot Cake with maple syrup,432.98,68.01,14.02,28.14,8.6
Mcdonalds,Hash Brown,140.29,15.63,7.32,0.64,1.93
Mcdonalds,Espresso,12.87,2.55,0.03,0.27,0.52
Mcdonalds,Espresso Machiato,44.98,4.97,2.02,6.27,2.09
Mcdonalds,Americano (S),12.87,2.55,0.03,0.27,0.52
Mcdonalds,Americano (R),23.07,4.57,0.05,0.48,0.94
Mcdonalds,Americano (L),26.71,5.3,0.06,0.55,1.09
Mcdonalds,Cappuccino (S),125.25,11.02,7.01,21.27,6.02
Mcdonalds,Cappuccino (R),183.61,16.67,10.02,30.48,8.79
Mcdonalds,Cappuccino (L),219.36,19.81,12.03,36.55,10.51
Mcdonalds,Latte (S),147.72,12.71,8.41,25.47,7.12
Mcdonalds,Latte (R),190.03,17.15,10.42,31.68,9.1
Mcdonalds,Latte (L),232.2,20.77,12.82,38.95,11.14
Mcdonalds,Flat White (S),166.99,14.16,9.6,29.07,8.06
Mcdonalds,Flat White (R),215.72,19.08,12.02,36.48,10.36
Mcdonalds,Flat White (L),251.47,22.22,14.02,42.55,12.08
Mcdonalds,Mocha (S),185.85,22.59,8.2,24.43,7.15
Mcdonalds,Mocha (R),244,31.72,9.91,29.52,8.99
Mcdonalds,Mocha (L),302.02,40.04,12.01,35.67,10.88
Mcdonalds,Babycino,143.5,22.85,4.38,12.27,3.87
Mcdonalds,Hot Chocolate (S),239.42,37.08,7.77,22.03,6.73
Mcdonalds,Hot Chocolate (R),296.81,48.41,8.76,24.59,7.7
Mcdonalds,Hot Chocolate (L),383.29,58.43,12.84,36.67,11.01
Mcdonalds,Premium Dark Hot Chocolate,214.21,33.04,5.96,14.73,6.15
Mcdonalds,Double Dark Hot Chocolate,255.78,41.29,6.32,14.83,6.87
Mcdonalds,English Breakfast (S),9.93,0.28,0.28,2.79,0.56
Mcdonalds,English Breakfast (R),11.75,0.33,0.33,3.3,0.66
